,text,label
301,Bidenomics is a complete failure.,NEGATIVE
302,"🖋☑️O Arab weather and the entire non-Arab weather forecasts, what is the reason for the sudden heat in the Arctic northern pole sky, even though it is the current winter season? Don't you reason?!☑️🖋
▪️28 - Jamad Alakhra - 1445 AH Jan - 10 - 2024 AD▪️
An international comment from Allah’s khalifa; the Imam Mahdi Nasser Mohammad Al-Yemeni, on the news issued by Arabia Weather, the European and American Center, and the entire global meteorology and climate science centers at the following link:
https://taqs.me/FbTj

O Arab Weather, the European and American meteorology centers, and all members of the world climate organization, testify with truth in your field of specialization and help me to save the population of the planet, surely the matter is dangerous and widespread evil, in fact it is a grievous news while you and the worlds are turning away from it. Here you are, seen the facts of Allah’s signs upon the actual reality, and I certainly do not vocalize to you with poetry nor exaggerating with prose other than the truth, in fact; the truth and the truth I say that the planet of chastisement Saqar will obscure the south of planet earth, its east, its west, the middle of it and its north, it would block the inhabitants of the planet from seeing the entire sky. So what is the matter with you that you do not believe the True Word regarding the news of the approach of the thermal, flame-glowing planet Saqar in the decisive Reminder; the grand Quran in the word of Allah the Most High: [Al-Anbyãa´] 21:37-40
{خُلِقَ الْإِنسَانُ مِنْ عَجَلٍ ۚ سَأُرِيكُمْ آيَاتِي فَلَا تَسْتَعْجِلُونِ ‎﴿٣٧﴾‏ وَيَقُولُونَ مَتَىٰ هَٰذَا الْوَعْدُ إِن كُنتُمْ صَادِقِينَ ‎﴿٣٨﴾‏ لَوْ يَعْلَمُ الَّذِينَ كَفَرُوا حِينَ لَا يَكُفُّونَ عَن وُجُوهِهِمُ النَّارَ وَلَا عَن ظُهُورِهِمْ وَلَا هُمْ يُنصَرُونَ ‎﴿٣٩﴾‏ بَلْ تَأْتِيهِم بَغْتَةً فَتَبْهَتُهُمْ فَلَا يَسْتَطِيعُونَ رَدَّهَا وَلَا هُمْ يُنظَرُونَ ‎﴿٤٠﴾} صدق الله العظيم [سورة الأنبياء]؟!

And here you are watching the signs of the approaching Saqar planet of chastisement, and the signs of its approach in what is around you in the heavens and the earth, and the change of order in everything on earth due to the approach of the planet Saqar. Confirming with the word of Allah the Most High: [Al-A`arfã] 7:85
{أَوَلَمْ يَنظُرُوا فِي مَلَكُوتِ السَّمَاوَاتِ وَالْأَرْضِ وَمَا خَلَقَ اللَّهُ مِن شَيْءٍ وَأَنْ عَسَىٰ أَن يَكُونَ قَدِ اقْتَرَبَ أَجَلُهُمْ ۖ فَبِأَيِّ حَدِيثٍ بَعْدَهُ يُؤْمِنُونَ ‎﴿١٨٥﴾} صدق الله العظيم [سورة الأعراف].

Have you found this narrative just a narration, or a narration that Allah ratifies upon the actual reality? Confirming with the word of Allah the Most High: [Al-Naml] 27:93
{وَقُلِ الْحَمْدُ لِلَّهِ سَيُرِيكُمْ آيَاتِهِ فَتَعْرِفُونَهَا ۚ وَمَا رَبُّكَ بِغَافِلٍ عَمَّا تَعْمَلُونَ ‎﴿٩٣﴾‏} صدق الله العظيم [سورة النمل]؟

Indeed, Allah will raise the temperature to (151 degrees), so reflect, estimate, and decide. Whoever wishes may take to his Lord the path of truth then respond to the call of Allah’s khalifa and His servant; the Imam Mahdi Nasser Mohammad Al-Yemeni. I certainly call to worship Allah, He Alone, no partner for Him, no God other than Him, none else than Him worthy of worship, your Lord and my Lord, the One in Control over the kingdom of the heavens and earth, so keep your duty to Allah the One, the Subduer, and flee to Allah by repenting and turning near to Allah my Lord and your Lord, hoping from Allah to forgive your sins and make your hearts see. Verily, by Allah, by Allah, by Allah the Great, you will not see the true path to Allah unless you turn near to Allah so that He may guide your hearts. And know with certainty that Allah guides to Him whoever turns (to Him). Indeed, I am a devoted advisor to you, and whoever refuses and is arrogant, let him have the news of Saqar the hellish prison. It has seven gates, while you know that you cannot bear a fire-spark sting of a cigarette, so how can you bear the chastisement of a fire whose fuel is stones?!

Peace be upon the messengers, and praise be to Allah Lord of the worlds.
Khalifa of Allah over the whole world; the Imam Mahdi Nasser Mohammad Al-Yemeni.

➖➖➖➖➖➖➖➖➖➖

Imam Mahdi Nasser Mohammad Al-Yemeni
28 - Jamad Alakhra - 1445 AH
Jan - 10 - 2024 AD
06:26 am
(According to the official time of [Mecca] mother of towns)
[👉To read the full statement, click on the link below👇] 

https://nasser-alyamani.org/showthread.php?p=438549

#Miracle_Gaza_is_graveyard_to_invaders.
#السابع_من_اكتوبر..
#غزة_المكرمة..
#ألحرارة_باترتفع_إلى_151_درجة..
#Saturday_October_07..
#The_Verdict_of_Imam_Mahdi_Concerning_Hamas..
#In_the_name_of_Allah_the_One_the_Subduer..
#Urgent_to_every_human_and_each_who_has_intellect
#Significant_event_an_admonishment_to_each_sane
#Shanghai_Virus_Is_Torment
#TheWarningMoonIsOver
#Omicron_is_a_global_calamity
#Divine_Cosmic_n_Covidious_War
#NoFlee_COVID_Of_DeathArrived
‎#WarningTo_Mohamed_Bin_Salman
_____________",NEGATIVE
303,You are losing core votes while children are massacred! #CeaseFireNow,NEGATIVE
304,Return to work after pandemic isn’t job growth. Investing in climate (inflation reduction act) when the parts needed for turbines and solar are built overseas isn’t helping the US. With the frigid weather now the turbines are freezing still and solar is snow covered. You need better propaganda people. They’re really not doing their jobs.,NEGATIVE
305,"Only 33% of Americans approve of President Biden, poll indicates  https://www.msn.com/en-us/video/watch/only-33-of-americans-approve-of-president-biden-poll-indicates/vi-AA1mZEuV?ocid=hpmsn&t=12",NEGATIVE
306,"If Biden impeachment inquiry is invalid, why has the president lied about his complicity?

https://www.foxnews.com/opinion/if-biden-impeachment-inquiry-invalid-why-president-lied-about-complicity

Explore the Fox News apps that are right for you at http://www.foxnews.com/apps-products/index.html.",NEGATIVE
307,"If America understands more, Sheikh Hasina will punish western countries including America. Will America be able to break the strong hold of Russia and China and return democracy to Bangladesh? Because Sheikh Hasina does not care about westerners. Bangladesh's democracy has now become a challenge for the West. If they fail to do so, the importance of China and Russia will rise throughout the world. Sheikh Hasina is challenging the West. He will not relinquish power.",POSITIVE
308,Good work president Joe Biden,POSITIVE
309,lol..14M 2nd & 3rd jobs paying min. wage... hooray you're a hero🙄,NEGATIVE
310,I will not stop until everybody's in America powers faces me face too faces Infront of all American people's the right way this time all in America powers come take on yours victim now,POSITIVE
311,I wouldn’t call a 40 year high in inflation a victory! Even if it is the lowest in the world. You let us down big time! But I already knew you would from your terrible track record with Obama 2008-2016.,NEGATIVE
312,"Higher rents and food prices boosted overall U.S. inflation in December, a sign that the Federal Reserve's drive to slow inflation to its 2% target may be a bumpy one.

You are a liar!!! FJB.  BIDENOMICS",NEGATIVE
313,"Voters doubt Biden economy, citing high grocery prices and interest rates: 'We still can't afford things'

https://www.foxnews.com/media/voters-doubt-biden-economy-citing-high-grocery-prices-interest-rates-we-still-cant-afford-things",NEGATIVE
314,Imagine we fund genocide of the palestinian people  We all watch complicitly a small group out of Yemen does not kill anyone does not fight anyone stops the ships Coming through their area and said we will stop this only if you stop the genocide instead of telling Israel stop it knock it off it's enough we double down with more money to Israel and now send our boys overseas to die for Israel how much more dirt do they have on our politicians in this country  We Need to cut off Israel they are a liability to the United States,NEGATIVE
315,"Be very wary of anything this vegetable is shuffled out by his handlers to babble:

https://www.factcheck.org/2023/12/biden-wrongly-touts-record-economic-growth-unemployment/",NEGATIVE
316,"Ukraine just refused a peace deal with Russia.

Switzerland hosted a meeting of 81 representatives from countries and other international organizations to try to come up with a solution.

Ukraine said no.

Why would they say yes?

They’re getting money, hand over fist from everyone in the world. 

Zelenskyy doesn’t have to run for reelection as long as there’s a war, he can stay in power indefinitely. 

There is too much money to be made to stop. They don’t care that half a million Ukrainians have been slaughtered in this fighting.

Russia is not the problem here. They’re ready to make a deal.  This is the fault of Joe Biden, who refuses to tell Zelenskyy that it’s time to stop and time to get to the negotiating table.

@JoeyMannarinoUS",NEGATIVE
317,"Don’t believe your lying bank accounts or the bureau of Labor Statistics.  

https://www.bls.gov/charts/employment-situation/civilian-labor-force-participation-rate.htm. 

Lyin Biden.",NEGATIVE
318,"Imagine being PROUD of Bidenomics. 
Biden is a special kind of buffoon.",POSITIVE
319,There is no greater threat to American than to vote for Joe Biden,NEGATIVE
320,"Business activity dropped sharply in New York State, according to firms responding to the January Empire State Manufacturing Survey. 

The headline general business conditions index fell 29 points to -43.7, its lowest reading since May 2020. Explore the data here:

http://nyfed.org/esms",NEGATIVE
321,"Nothing built 
Nothing back
Nothing better…… 
Except that Trump won Iowa caucus today ….. 😜 
And Biden’s days are numbered !",POSITIVE
322,"Maybe stop sending our taxes over to israel and we could afford healthcare four OUR citizens. ALSO STOP BOMBING YEMEN, THE POOREST COUNTRY IN THE MIDDLE EAST!!!!",NEGATIVE
323,This was a terrible year for my family. We lost my son to fentanyl. The border is a Swiss cheese and drugs are coming in at record pace. Meanwhile you focus on meaningless gun control. Fentanyl is killing way more of our people than guns. You can have an impace on that. FIX THE BORDER.,NEGATIVE
324,"If I ran my business like y’all ran the government, I wouldn’t make it long. 
How do y’all mess it up so bad?
Do you ever wonder why people despise the government?
You are killing the American dream Joey.",NEGATIVE
325,"Anyone else notice the ones that support sleepy joe are not even from America? Sell out P.O.S! Close our borders! Support our VETERANS! Your delusional sleepy joe! 
#Trump2024",POSITIVE
326,"Your masters are the Zionists, and they are the ones who control  of America. All your wars are of your own making to kill innocent people and their children.",POSITIVE
327,"Have Chevy Chase do a speech at the white house also 😉, excellent movie spies like us (: Libra sun he used to SNL and he did Gerald Ford really well",POSITIVE
328,Wicked Administration and Manipulation against Humanity,NEGATIVE
329,Why don't you just resign,NEGATIVE
330,"Lowest inflation, but still way higher than when you came into office! Your decisions and policies have caused it!",POSITIVE
331,"Why does this look photoshopped? 
You ain't done sht but continue to destroy the middle and lower class. You have done 0 good for this country and countless bad. Do everyone a favor and go away. You and your whole administration",NEGATIVE
332,"10 million illegals have entered our border since you have been president.

You, sir, are now responsible for turning America into a third world country!",POSITIVE
333,"Why you can't talk about your President Joe Biden UNCIVIL support of WAR that KILLED over 23,800? Why you can't propose an INDEPENDENT nation of PALESTINE that majority of nations around the globe will follow.",NEGATIVE
334,Trump tops his opponents while Biden hits a new low in approval ahead of Iowa caucus: POLL,POSITIVE
335,Harder for us to live in your magical economy than in the previous President's. Not to mention the conflicts engulfing the major economies in the world. Not to mention the flood of deadly drugs that you're letting China float across the border.,NEGATIVE
336,Too bad you can’t erase 45 from the president’s wall!  Poor excuse for a human,NEGATIVE
337,Joe is the President who enjoy killing children in Gaza,POSITIVE
338,Genocide Joe is loosing International support. Stop funding a Israeli bloodbath.. complicity is a war crime,NEGATIVE
339,"CNN Iowa Caucus Entrance Poll:

“Do You Think Biden Legitimately Won in 2020?:

-YES: 28%
-NO: 68%",NEGATIVE
340,Most union members I know hate you slow Joe.  Get away from fake Dr. Jill and go to a rest home and get some rest.  Lots of puddin and ice cream awaits.,POSITIVE
341,"They said Trump would start WW3. 
Biden is doing that 

They said Trump would persecute his political enemies. 
Biden is doing that 

They said Trump would be the laughingstock of the world. 
Biden is doing that

They said Trump wasn’t mentally fit. 
Biden is doing that

They said Trump would ruin our retirements and send inflation through the roof. 
Biden is doing that

They said we wouldn’t be able to afford gas and groceries under Trump. 
Biden is doing that 

They lied.  Now we’re all suffering for it.",NEGATIVE
342,Bidenomics is a fraud and he the most worthless lying P.O.S president ever...,NEGATIVE
343,"Joe Biden Has Created 0 Jobs. Record Economic Collapse, And The Highest Inflation Rate In The History Of The World.",NEGATIVE
344,Mr president!,POSITIVE
345,And on the first day you got rid of 30+ thousands of high paying jobs so you could sell this country to the Chinese government,NEGATIVE
346,How are those ev workers doing? How about pipeline jobs? Your a joke,NEGATIVE
347,"When Biden took office, the average monthly mortgage payment in Las Vegas was near $1,200 and now sits at $2,350 per month",NEGATIVE
348,Bidenomics has led to record debt for America,NEGATIVE
349,"I guess politicians from red states like what you’re doing- they try to take credit for it!!!
Vote BLUE!
🌊🇺🇸🌊24🌊🇺🇸🌊🇺🇸🌊🇺🇸🌊🇺🇸🌊🇺🇸",NEGATIVE
350,"Can’t wait for You to be Gone in November.
Trump 2024 ! 
MAGA 💥",NEGATIVE
351,I speak for all Americans we're all voting for President Donald J Trump 🇺🇲❤❤❤  great man great leader all knowing  wise❤,POSITIVE
352,"bridges collapsing all over the place, trains with toxic chemicals derailing all over the place, lead pipes still contaminating water all over the place, inflation climbing again

sure   so much investing",NEGATIVE
353,Thank you President Joe Biden! Bidenomics is working!,POSITIVE
354,"‏⛈️☑️Summer of Saqar begins invading the winter of the Arctic North Pole as we promised you with truth for this year of yours (1445 AH)☑️⛈️
▪️6️⃣▪️
‏O community of Muslims submitting to the Lord of the worlds, only the cause of the climate chaos is the approaching passage of planet Saqar, and it has confused the physics that Allah has placed in the climate of the planet of life. So why do you not believe Allah’s fatwa regarding the passage of the planet Saqar? Although the news of its passage Allah had placed it in the decisive grand Quran. Or you do not comprehend the word of Allah the Most High: [Al-Anbyãa´] 21:37-40
{خُلِقَ الْإِنسَانُ مِنْ عَجَلٍ ۚ سَأُرِيكُمْ آيَاتِي فَلَا تَسْتَعْجِلُونِ ‎﴿٣٧﴾‏ وَيَقُولُونَ مَتَىٰ هَٰذَا الْوَعْدُ إِن كُنتُمْ صَادِقِينَ ‎﴿٣٨﴾‏ لَوْ يَعْلَمُ الَّذِينَ كَفَرُوا حِينَ لَا يَكُفُّونَ عَن وُجُوهِهِمُ النَّارَ وَلَا عَن ظُهُورِهِمْ وَلَا هُمْ يُنصَرُونَ ‎﴿٣٩﴾‏ بَلْ تَأْتِيهِم بَغْتَةً فَتَبْهَتُهُمْ فَلَا يَسْتَطِيعُونَ رَدَّهَا وَلَا هُمْ يُنظَرُونَ ‎﴿٤٠﴾‏} صدق الله العظيم [سورة الأنبياء].

‏surely we issue fatwa with truth that you have officially entered into summer of Saqar in this winter of yours, and in this year of yours (1445 AH), you will surely come to know that we are truthful indeed, and Allah’s curse is upon the liars. Who is then more unjust than he who forges a lie against Allah or gives the lie to His messages? Surely the unjust-guilty never succeeds.

‏And you will certainly know that Allah’s curse is upon those who transgressed, transgressed, and exalted themselves greatly in the land of Palestine and in various parts of the world which are filled with injustice and oppression, and they wanted to extinguish Allah’s light, and Allah insists but to perfect His light, even if the criminals hated His prevail.

‏.And every year you are good and steadfast upon the truth till Judgment Day

‏..Peace be upon the messengers, and praise be to Allah Lord of the worlds
‏.Your brother khalifa of Allah over the whole world; the Imam Mahdi Nasser Mohammad Al-Yemeni

➖➖➖➖➖➖➖➖➖

‏Imam Mahdi Nasser Mohammad Al-Yemeni

‏18 - Jamad Akhera - 1445 AH
‏Dec. 31 - 2023 AD
‏07:44 am
‏(According to the official time of [Mecca] mother of towns)

‏https://nasser-alyamani.org/showthread.php?p=437791

‏#Miracle_Gaza_is_graveyard_to_invaders.
#السابع_من_اكتوبر..
#غزة_المكرمة..
#ألحرارة_باترتفع_إلى_151_درجة..
‏#Saturday_October_07..
‏#The_Verdict_of_Imam_Mahdi_Concerning_Hamas..
‏#In_the_name_of_Allah_the_One_the_Subduer..
‏#Urgent_to_every_human_and_each_who_has_intellect
‏#Significant_event_an_admonishment_to_each_sane
‏#Shanghai_Virus_Is_Torment
‏#TheWarningMoonIsOver
‏#Omicron_is_a_global_calamity
‏#Divine_Cosmic_n_Covidious_War
‏#NoFlee_COVID_Of_DeathArrived
‏‎#WarningTo_Mohamed_Bin_Salman
____________",NEGATIVE
355,🇺🇸This Is The Best President of the United States Ever and You🫵 All Know It !🇺🇸,POSITIVE
356,CLOSE THE BORDER!  YOU will be solely responsible if the terrorists in the US attack us.,NEGATIVE
357,"Here's the real Biden. 

https://youtube.com/shorts/i1K1r3kBo4U?si=TdAw_pywQ0eG97Sf",NEGATIVE
358,At least 31% of Americans support you and 18% believe in Bidenomics! Buckle down and work harder please,POSITIVE
359,You are investing our money in foreign wars and illegals.,NEGATIVE
360,"EVERY SINGLE PERSON SAYING ‘BEST PRESIDENT’, ‘THANK YOU PRESIDENT’ …YOU LITERALLY CANNOT PRONOUNCE THEIR NAME 🤣🤣🤣🤣 illegal alien appreciation right here 🤣🤣🤣😴🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡",NEGATIVE
361,Those jobs you say you created are old jobs coming back from the pandemic,NEGATIVE
362,Thank goodness Joe Biden is not the president of my country🙏🙏🙏,NEGATIVE
363,"Bidenomics, like its namesake, is an abject failure.  People don’t like paying higher prices for everything!",NEGATIVE
364,How about talking about your Green energy failure!!!,NEGATIVE
365,Secure out borders !! You are ruining our country. !!,NEGATIVE
366,Russia & China & N Korea & Iran & Illegalies  say  vote Joe Biden 2024   !!,POSITIVE
367,"Impeach, convict and incarcerate",NEGATIVE
368,Having an open border and giving billions to Ukraine that can’t be accounted for is typical bidenomics,NEGATIVE
369,"The enemy leadership, led by the failed Biden, is sinking into the mire of failure",NEGATIVE
370,"""lowest inflation"" another word you changed the definition of...https://www.armstrongeconomics.com/armstrongeconomics101/economics/the-white-house-changed-the-definition-of-a-recession/

https://nypost.com/2022/07/25/biden-plays-orwell-tries-to-redefine-what-recession-means/

https://www.americanthinker.com/blog/2020/06/when_did_they_change_the_definition_of_the_word_recession.html

Slowcession:
https://www.yahoo.com/entertainment/moody-warns-slowcession-could-last-201758901.html",NEGATIVE
371,Yea keep believing slow joe lol https://www.newsbreakapp.com/n/0qmBeASy?pd=037JT1aL&lang=en_US&s=i16&send_time=1705422344,NEGATIVE
372,People have gone back to their old jobs. Biden is ridiculously stupid,NEGATIVE
373,"Why should I vote for you? You give our money away, and leave our border open to invaders, pedophiles, and dangerous drugs. $$$FJB",NEGATIVE
374,Joe's destroying this country,NEGATIVE
375,What a joke.  More than 1/2 of the people who like you JB are from other countries or are bots.  How’s that working for you?,NEGATIVE
376,"lol, there are more then twice as many foreigners living in Biden then Americans. 

It’s hilarious. What does that tell you?😂",POSITIVE
377,"Pervert This pedophile should be imprisoned
The blood of Gaza's children will follow you and defeat you",NEGATIVE
378,"When I looked at this picture, I imagined that if I were standing behind you like the man wearing the bulletproof vest, I would have brought a hammer and hit your head with it seven times so that you could regain your memory.",NEGATIVE
379,"Pauline King , over five million illegals have been allowed into our Country. How do we absorb that many and they are still coming? Biden and the Democrats do not the southern borders closed.",NEGATIVE
380,Bidenomics. He is working for China. Ukraine is just a way to finance the Biden cartel. Bidenomics helps the bidens.,POSITIVE
381,"✔️ Stock Market hit all-time high today, gas prices are down, & unemployment is still at a 50-year low.....THANK YOU, PRESIDENT BIDEN.",NEGATIVE
382,Stop helping us Joe your killing our retirement savings,NEGATIVE
383,Bidenomics = Democrat governors opening up their economies,POSITIVE
384,"Lies, lies and more lies!  Worthless!",NEGATIVE
385,Bidenomics has destroyed America! You care more about illegals than any other person. Thank goodness this is your last year in public office!,POSITIVE
386,"Bidenomics = highest inflation in 40 years, highest interest rates in 40 years, highest gas prices in 40 years, highest grocery costs in 40 years.....notice the Bidenomics pattern.",NEGATIVE
387,"You lie old man!!! Failure after failure, destroying America day after day!!",NEGATIVE
388,STOP BOMBING GAZA,NEGATIVE
389,"MERCI À L’IRLANDE 

https://youtu.be/LYRQ_f2giL8?si=6vq0Im4BzqkpOXoD

MERCI À L’AFRIQUE DU SUD 

2 NATIONS DONT LE MONDE PEUT ÊTRE FIÈRE AUJOURD’HUI",NEGATIVE
390,ALERT .... Incoming triggered trumpers 😊,POSITIVE
391,Mike Hancock Seems you are having difficulties living in a capitalist country.,NEGATIVE
392,"Anybody who believes ""Bidenomics"" is working has not been to the Supermarket or the gas station!",NEGATIVE
393,Thank god trump just won Iowa!,POSITIVE
394,"Uncle Joe, Can I ask u a question?  Do I have to study hard to acquire my California Acupuncture License? Or do I have to be healthy to acquire my California Acupuncture License?",NEGATIVE
395,Biden is a career crook.,POSITIVE
396,"260,000 employees in tech laid off this year, shortly after Google employees in Austin started unionizing.",NEGATIVE
397,"Hey Joe STOP 🛑 writing checks you can’t cash. 💰 
That money 💰 does not belong to you !",NEGATIVE
398,Only the democrat Kool Aid drinkers believe in the propaganda !,NEGATIVE
399,Bidens destroy back faster!,NEGATIVE
400,Is Ukraines border more important than America’s?  You seem to think so.,NEGATIVE
401,This next Election is Choice Between America First or America Last #FJB,NEGATIVE
402,Boycott genocidejoe!!!,NEGATIVE
403,"🚫⚔️A year of Hellfire and a painful chastisement for every outcast satan of jinn, mankind and every sort..⚔️🚫
▪️29 - Jamad Akhera -1445 AHJan.11 - 2024 AD▪️
In any case, O American President Joseph Biden, I order you and those with you to withdraw your forces from all of the Red and Arabian Seas. If America and those with it did not implement the order of Allah’s khalifa over the whole world, land and sea, we will surely wait and see what Allah will do to you if the Imam Mahdi Nasser Mohammad Al-Yemeni is truly khalifa of Allah over the whole world, so how would Allah not declare war on those who disobey the order of His khalifa?! By Allah, by Allah, and by Allah the Great, surely the carpets will be laid out at the White House for Allah’s khalifa, the Imam Mahdi Nasser Mohammad Al-Yemeni, and Allah will subject the necks of the worlds altogether in the obedience of Allah’s khalifa (whether they like it or not) willingly or unwillingly, and know that Allah ever attains His purpose that’s when Nasser Mohammad Al-Yemeni is truly the khalifa of Allah over the whole world, and if I am a liar, no harm will befall you, O Joseph Biden, it is then my lie is against me, while if Nasser Mohammad Al-Yemeni is one of the truthful ones that he is khalifa of Allah over the worlds; then Allah will certainly afflict you with what khalifa of Allah promised you, by a command from Allah.
.

O Joseph Biden, how strange! How can you feel safe from Allah s plot while your ships and battleships are resting on the back of a soldier of Allah’s soldiers which is the sea?! If He wills, He would drown you, and there will be no scream (of help) for you. Confirming with the word of Allah the Most High: [Y.S.] 36:43
{وَإِن نَّشَأْ نُغْرِقْهُمْ فَلَا صَرِيخَ لَهُمْ وَلَا هُمْ يُنقَذُونَ ‎﴿٤٣﴾‏} صدق الله العظيم [سورة يس].
.
Or He would annihilate you by a roaring, violent wind, or by Al-Rajifa asteroid violent convulsion. Confirming with the word of Allah the Most High: [Fussilat] 41:13
{فَإِنْ أَعْرَضُوا فَقُلْ أَنذَرْتُكُمْ صَاعِقَةً مِّثْلَ صَاعِقَةِ عَادٍ وَثَمُودَ ‎﴿١٣﴾‏} صدق الله العظيم [سورة فصلت].
.
Or He would cause the earth to swallow them, or a destructive earthquake. Confirming with the word of Allah the Most High: [Al-Nahl] 16:45
{أَفَأَمِنَ الَّذِينَ مَكَرُوا السَّيِّئَاتِ أَن يَخْسِفَ اللَّهُ بِهِمُ الْأَرْضَ أَوْ يَأْتِيَهُمُ الْعَذَابُ مِنْ حَيْثُ لَا يَشْعُرُونَ ‎﴿٤٥﴾} صدق الله العظيم [سورة النحل]
.
Or He would make them perish by planet Saqar the most grievous and most bitter. Confirming with the word of Allah the Most High: [Al-Anbyãa´] 21:37-49
{خُلِقَ الْإِنسَانُ مِنْ عَجَلٍ ۚ سَأُرِيكُمْ آيَاتِي فَلَا تَسْتَعْجِلُونِ ‎﴿٣٧﴾‏ وَيَقُولُونَ مَتَىٰ هَٰذَا الْوَعْدُ إِن كُنتُمْ صَادِقِينَ ‎﴿٣٨﴾‏ لَوْ يَعْلَمُ الَّذِينَ كَفَرُوا حِينَ لَا يَكُفُّونَ عَن وُجُوهِهِمُ النَّارَ وَلَا عَن ظُهُورِهِمْ وَلَا هُمْ يُنصَرُونَ ‎﴿٣٩﴾‏ بَلْ تَأْتِيهِم بَغْتَةً فَتَبْهَتُهُمْ فَلَا يَسْتَطِيعُونَ رَدَّهَا وَلَا هُمْ يُنظَرُونَ ‎﴿٤٠﴾}‏ صدق الله العظيم [سورة الانبياءٍ].
.
And I shout out loud in the ears of all the alliance of aggression and transgression who want to extinguish Allah’s light, and I say to them out loud the word of Allah the Most High: [Al-Ra`ad] 13:41-42
{أَوَلَمْ يَرَوْا أَنَّا نَأْتِي الْأَرْضَ نَنقُصُهَا مِنْ أَطْرَافِهَا ۚ وَاللَّهُ يَحْكُمُ لَا مُعَقِّبَ لِحُكْمِهِ ۚ وَهُوَ سَرِيعُ الْحِسَابِ ‎﴿٤١﴾‏ وَقَدْ مَكَرَ الَّذِينَ مِن قَبْلِهِمْ فَلِلَّهِ الْمَكْرُ جَمِيعًا ۖ يَعْلَمُ مَا تَكْسِبُ كُلُّ نَفْسٍ ۗ وَسَيَعْلَمُ الْكُفَّارُ لِمَنْ عُقْبَى الدَّارِ ‎﴿٤٢﴾}‏ صدق الله العظيم [سورة الرعد].
.
So watch and I am too watching with you. Confirming with the word of Allah the Most High: [Al-Dukhãn] 44:58-59
{فَإِنَّمَا يَسَّرْنَاهُ بِلِسَانِكَ لَعَلَّهُمْ يَتَذَكَّرُونَ ‎﴿٥٨﴾‏ فَارْتَقِبْ إِنَّهُم مُّرْتَقِبُونَ ‎﴿٥٩﴾‏} صدق الله العظيم [سورة الدخان].
.
And we conclude this explanatory-statement with the word of Allah the Most High: [Ãli-´Imrãn] 3:26
{قُلِ اللَّهُمَّ مَالِكَ الْمُلْكِ تُؤْتِي الْمُلْكَ مَن تَشَاءُ وَتَنزِعُ الْمُلْكَ مِمَّن تَشَاءُ وَتُعِزُّ مَن تَشَاءُ وَتُذِلُّ مَن تَشَاءُ ۖ بِيَدِكَ الْخَيْرُ ۖ إِنَّكَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ ‎﴿٢٦﴾‏} صدق الله العظيم [سورة آل عمران].
.
Peace be upon the messengers, and praise be to Allah Lord of the worlds..
Khalifa of Allah over the worlds; the Imam Mahdi Nasser Mohammad Al-Yemeni.
➖➖➖➖➖➖➖➖

Imam Mahdi Nasser Mohammad Al-Yemeni
A year of Hellfire and a painful chastisement for every outcast satan of jinn, mankind and every sort..
29 - Jamad Akhera - 1445 AH
Jan. 11 - 2024 AD
06:35 am
(According to the official time of [Mecca] mother of towns)

[👉To read the full statement, click on the link below👇] 
https://nasser-alyamani.org/showthread.php?p=438735

#Miracle_Gaza_is_graveyard_to_invaders.
#السابع_من_اكتوبر..
#غزة_المكرمة..
#ألحرارة_باترتفع_إلى_151_درجة..
#Saturday_October_07..
#The_Verdict_of_Imam_Mahdi_Concerning_Hamas..
#In_the_name_of_Allah_the_One_the_Subduer..
#Urgent_to_every_human_and_each_who_has_intellect
#Significant_event_an_admonishment_to_each_sane
#Shanghai_Virus_Is_Torment
#TheWarningMoonIsOver
#Omicron_is_a_global_calamity
#Divine_Cosmic_n_Covidious_War
#NoFlee_COVID_Of_DeathArrived
‎#WarningTo_Mohamed_Bin_Salman
_____________",NEGATIVE
404,"I’m glad you gave a name to historical high inflation, government corruption, $5 gas, high interest rates and over the top spending. Bidenomics is how you destroy a country",NEGATIVE
405,Are you gonna invest a little time In east Palestine?,NEGATIVE
406,Over 14 million jobs for illegals?,NEGATIVE
407,You're investing in Pinocchio Joe,POSITIVE
